transportador_codigo;tabela_nome;validade_inicio;validade_fim;cidade_ibge;prazo_adicional
001;KAMER - AC;01/03/2022;31/12/2099;2916500;13
001;KAMER - AC;01/03/2022;31/12/2099;2916401;13
001;KAMER - AC;01/03/2022;31/12/2099;2916302;13
001;KAMER - AC;01/03/2022;31/12/2099;2925303;13
001;KAMER - AC;01/03/2022;31/12/2099;2925253;13
001;KAMER - AC;01/03/2022;31/12/2099;2925204;13
001;KAMER - AC;01/03/2022;31/12/2099;2925105;13
001;KAMER - AC;01/03/2022;31/12/2099;2925006;13
001;KAMER - AC;01/03/2022;31/12/2099;2924900;13
001;KAMER - AC;01/03/2022;31/12/2099;2924801;13
001;KAMER - AC;01/03/2022;31/12/2099;2924702;13
001;KAMER - AC;01/03/2022;31/12/2099;2924678;13
001;KAMER - AC;01/03/2022;31/12/2099;2924652;13
001;KAMER - AC;01/03/2022;31/12/2099;2924603;13
001;KAMER - AC;01/03/2022;31/12/2099;2924504;13
001;KAMER - AC;01/03/2022;31/12/2099;2924405;13
001;KAMER - AC;01/03/2022;31/12/2099;2924306;13
001;KAMER - AC;01/03/2022;31/12/2099;2924207;13
001;KAMER - AC;01/03/2022;31/12/2099;2924108;13
001;KAMER - AC;01/03/2022;31/12/2099;2924058;13
001;KAMER - AC;01/03/2022;31/12/2099;2924009;13
001;KAMER - AC;01/03/2022;31/12/2099;2923902;13
001;KAMER - AC;01/03/2022;31/12/2099;2923803;13
001;KAMER - AC;01/03/2022;31/12/2099;2923704;13
001;KAMER - AC;01/03/2022;31/12/2099;2923605;13
001;KAMER - AC;01/03/2022;31/12/2099;2923506;13
001;KAMER - AC;01/03/2022;31/12/2099;2923407;13
001;KAMER - AC;01/03/2022;31/12/2099;2923357;13
001;KAMER - AC;01/03/2022;31/12/2099;2923308;13
001;KAMER - AC;01/03/2022;31/12/2099;2923209;13
001;KAMER - AC;01/03/2022;31/12/2099;2923100;13
001;KAMER - AC;01/03/2022;31/12/2099;2923050;13
001;KAMER - AC;01/03/2022;31/12/2099;2923035;13
001;KAMER - AC;01/03/2022;31/12/2099;2923001;13
001;KAMER - AC;01/03/2022;31/12/2099;2922904;13
001;KAMER - AC;01/03/2022;31/12/2099;2922854;13
001;KAMER - AC;01/03/2022;31/12/2099;2922805;13
001;KAMER - AC;01/03/2022;31/12/2099;2922755;13
001;KAMER - AC;01/03/2022;31/12/2099;2922730;13
001;KAMER - AC;01/03/2022;31/12/2099;2922706;13
001;KAMER - AC;01/03/2022;31/12/2099;2922656;13
001;KAMER - AC;01/03/2022;31/12/2099;2922607;13
001;KAMER - AC;01/03/2022;31/12/2099;2922508;13
001;KAMER - AC;01/03/2022;31/12/2099;2922409;13
001;KAMER - AC;01/03/2022;31/12/2099;2922300;13
001;KAMER - AC;01/03/2022;31/12/2099;2922201;13
001;KAMER - AC;01/03/2022;31/12/2099;2922102;13
001;KAMER - AC;01/03/2022;31/12/2099;2922052;13
001;KAMER - AC;01/03/2022;31/12/2099;2922003;13
001;KAMER - AC;01/03/2022;31/12/2099;2921906;13
001;KAMER - AC;01/03/2022;31/12/2099;2921807;13
001;KAMER - AC;01/03/2022;31/12/2099;2921708;13
001;KAMER - AC;01/03/2022;31/12/2099;2921609;13
001;KAMER - AC;01/03/2022;31/12/2099;2921500;13
001;KAMER - AC;01/03/2022;31/12/2099;2921450;13
001;KAMER - AC;01/03/2022;31/12/2099;2921401;13
001;KAMER - AC;01/03/2022;31/12/2099;2921302;13
001;KAMER - AC;01/03/2022;31/12/2099;2921203;13
001;KAMER - AC;01/03/2022;31/12/2099;2921104;13
001;KAMER - AC;01/03/2022;31/12/2099;2921054;13
001;KAMER - AC;01/03/2022;31/12/2099;2921005;13
001;KAMER - AC;01/03/2022;31/12/2099;2930204;13
001;KAMER - AC;01/03/2022;31/12/2099;2930105;13
001;KAMER - AC;01/03/2022;31/12/2099;2930006;13
001;KAMER - AC;01/03/2022;31/12/2099;2929909;13
001;KAMER - AC;01/03/2022;31/12/2099;2929800;13
001;KAMER - AC;01/03/2022;31/12/2099;2929750;13
001;KAMER - AC;01/03/2022;31/12/2099;2929701;13
001;KAMER - AC;01/03/2022;31/12/2099;2929602;13
001;KAMER - AC;01/03/2022;31/12/2099;2929503;13
001;KAMER - AC;01/03/2022;31/12/2099;2929404;13
001;KAMER - AC;01/03/2022;31/12/2099;2929370;13
001;KAMER - AC;01/03/2022;31/12/2099;2929354;13
001;KAMER - AC;01/03/2022;31/12/2099;2929305;13
001;KAMER - AC;01/03/2022;31/12/2099;2929255;13
001;KAMER - AC;01/03/2022;31/12/2099;2929206;13
001;KAMER - AC;01/03/2022;31/12/2099;2929057;13
001;KAMER - AC;01/03/2022;31/12/2099;2929008;13
001;KAMER - AC;01/03/2022;31/12/2099;2929107;13
001;KAMER - AC;01/03/2022;31/12/2099;2928950;13
001;KAMER - AC;01/03/2022;31/12/2099;2928901;13
001;KAMER - AC;01/03/2022;31/12/2099;2928802;13
001;KAMER - AC;01/03/2022;31/12/2099;2928703;13
001;KAMER - AC;01/03/2022;31/12/2099;2928604;13
001;KAMER - AC;01/03/2022;31/12/2099;2928307;13
001;KAMER - AC;01/03/2022;31/12/2099;2928208;13
001;KAMER - AC;01/03/2022;31/12/2099;2928000;13
001;KAMER - AC;01/03/2022;31/12/2099;2928505;13
001;KAMER - AC;01/03/2022;31/12/2099;2928406;13
001;KAMER - AC;01/03/2022;31/12/2099;2928109;13
001;KAMER - AC;01/03/2022;31/12/2099;2928059;13
001;KAMER - AC;01/03/2022;31/12/2099;2927903;13
001;KAMER - AC;01/03/2022;31/12/2099;2927804;13
001;KAMER - AC;01/03/2022;31/12/2099;2927705;13
001;KAMER - AC;01/03/2022;31/12/2099;2927606;13
001;KAMER - AC;01/03/2022;31/12/2099;2927507;13
001;KAMER - AC;01/03/2022;31/12/2099;2927309;13
001;KAMER - AC;01/03/2022;31/12/2099;2927200;13
001;KAMER - AC;01/03/2022;31/12/2099;2927101;13
001;KAMER - AC;01/03/2022;31/12/2099;2927002;13
001;KAMER - AC;01/03/2022;31/12/2099;2926905;13
001;KAMER - AC;01/03/2022;31/12/2099;2926806;13
001;KAMER - AC;01/03/2022;31/12/2099;2926707;13
001;KAMER - AC;01/03/2022;31/12/2099;2926657;13
001;KAMER - AC;01/03/2022;31/12/2099;2926608;13
001;KAMER - AC;01/03/2022;31/12/2099;2926509;13
001;KAMER - AC;01/03/2022;31/12/2099;2926400;13
001;KAMER - AC;01/03/2022;31/12/2099;2926301;13
001;KAMER - AC;01/03/2022;31/12/2099;2926202;13
001;KAMER - AC;01/03/2022;31/12/2099;2926103;13
001;KAMER - AC;01/03/2022;31/12/2099;2926004;13
001;KAMER - AC;01/03/2022;31/12/2099;2925956;13
001;KAMER - AC;01/03/2022;31/12/2099;2925931;13
001;KAMER - AC;01/03/2022;31/12/2099;2925907;13
001;KAMER - AC;01/03/2022;31/12/2099;2925808;13
001;KAMER - AC;01/03/2022;31/12/2099;2925758;13
001;KAMER - AC;01/03/2022;31/12/2099;2925709;13
001;KAMER - AC;01/03/2022;31/12/2099;2925600;13
001;KAMER - AC;01/03/2022;31/12/2099;2925501;13
001;KAMER - AC;01/03/2022;31/12/2099;2925402;13
001;KAMER - AC;01/03/2022;31/12/2099;5300108;19
001;KAMER - DF02;01/03/2022;31/12/2099;5300108;6
001;KAMER - DF02;01/03/2022;31/12/2099;5300108;6
001;KAMER - DF02;01/03/2022;31/12/2099;5300108;6
001;KAMER - DF02;01/03/2022;31/12/2099;5300108;6
001;KAMER - DF02;01/03/2022;31/12/2099;5300108;6
001;KAMER - DF01;01/03/2022;31/12/2099;2933604;6
001;KAMER - DF01;01/03/2022;31/12/2099;2933505;6
001;KAMER - DF01;01/03/2022;31/12/2099;2933455;6
001;KAMER - DF01;01/03/2022;31/12/2099;2933406;6
001;KAMER - DF01;01/03/2022;31/12/2099;2933307;6
001;KAMER - DF01;01/03/2022;31/12/2099;2933257;6
001;KAMER - DF01;01/03/2022;31/12/2099;2933208;6
001;KAMER - DF01;01/03/2022;31/12/2099;2933174;6
001;KAMER - DF01;01/03/2022;31/12/2099;2933158;6
001;KAMER - DF01;01/03/2022;31/12/2099;2933109;6
001;KAMER - DF01;01/03/2022;31/12/2099;2933059;6
001;KAMER - DF01;01/03/2022;31/12/2099;2933000;6
001;KAMER - DF01;01/03/2022;31/12/2099;2932903;6
001;KAMER - DF01;01/03/2022;31/12/2099;2932804;6
001;KAMER - DF01;01/03/2022;31/12/2099;2932705;6
001;KAMER - DF01;01/03/2022;31/12/2099;2932606;6
001;KAMER - DF01;01/03/2022;31/12/2099;2932507;6
001;KAMER - DF01;01/03/2022;31/12/2099;2932457;6
001;KAMER - DF01;01/03/2022;31/12/2099;2932408;6
001;KAMER - DF01;01/03/2022;31/12/2099;2932309;6
001;KAMER - DF01;01/03/2022;31/12/2099;2932200;6
001;KAMER - DF01;01/03/2022;31/12/2099;2932101;6
001;KAMER - DF01;01/03/2022;31/12/2099;2932002;6
001;KAMER - DF01;01/03/2022;31/12/2099;2931905;6
001;KAMER - DF01;01/03/2022;31/12/2099;2931806;6
001;KAMER - DF01;01/03/2022;31/12/2099;2931707;6
001;KAMER - DF01;01/03/2022;31/12/2099;2931608;6
001;KAMER - DF01;01/03/2022;31/12/2099;2931509;6
001;KAMER - DF01;01/03/2022;31/12/2099;2931400;6
