transportador_codigo,tabela_nome,validade_inicio,validade_fim,tarifa_codigo,cidade_ibge,prazo_entrega_dias
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2911907,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2911857,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2911808,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2911709,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2911659,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2911600,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2911501,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2911402,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2911303,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2911253,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2911204,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2911105,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2911006,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2920908,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2920809,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2920700,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2920601,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2920502,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2920452,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2920403,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2920304,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2920205,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2920106,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2920007,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2919959,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2919926,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2919900,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2919801,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2919702,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2919603,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2919504,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2919405,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2919306,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2919207,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2919157,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2919108,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2919058,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2919009,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2918902,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2918803,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2918753,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2918704,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2918605,13
